,M,R,p_c,a
7278,2.6755905625463687,14.543348492036483,0.9549844916790199,52.4
7279,2.7137265366103884,14.544955437522912,0.9830155194594444,52.4
7280,2.7519703290340307,14.545931315914167,1.0118693234475176,52.4
7281,2.7903086605013114,14.546263086213536,1.0415700540487531,52.4
7282,2.828750475683872,14.545928355132324,1.0721425705395364,52.4
7283,2.8672904688898337,14.544913898418413,1.1036124618741394,52.4
7284,2.9058128125745766,14.543255153017414,1.136006068102474,52.4
7285,2.9442365570562288,14.540971299752266,1.1693505024165067,52.4
7286,2.982614406540274,14.538020281081252,1.2036736738437843,52.4
7287,3.020964270518125,14.534378585126648,1.2390043106070687,52.4
7288,3.0592621025383298,14.530041080070204,1.2753719841696307,52.4
7289,3.097478310380652,14.525006299862582,1.3128071339863359,52.4
7290,3.135589097555211,14.51926962981777,1.351341092981221,52.4
7291,3.1736171797660013,14.512809331324476,1.3910061137729073,52.4
7292,3.211552078260046,14.505619248196364,1.4318353956697842,52.4
7293,3.2492969862645076,14.497726277683775,1.4738631124575707,52.4
7294,3.286768748015848,14.48914824703968,1.5171244410025035,52.4
7295,3.324022082378115,14.47985204546086,1.5616555906940903,52.4
7296,3.3610492606563174,14.469829851055152,1.6074938337520879,52.4
7297,3.3978219175984785,14.459083165193263,1.6546775364230528,52.4
7298,3.4343178184452974,14.44761066377474,1.7032461910925876,52.4
7299,3.4705180944424123,14.435411721817216,1.7532404493401508,52.4
7300,3.50640035282234,14.422486193333508,1.8047021559641108,52.4
7301,3.541949707241628,14.408832064900732,1.8576743840055108,52.4
7302,3.5772058633406627,14.394431256018528,1.9122014707998627,52.4
7303,3.6121660146680346,14.379275291895764,1.9683290550871435,52.4
7304,3.6467919966067184,14.363364532111891,2.026104115211061,52.4
7305,3.681030216002264,14.3467064666093,2.085575008439557,52.4
7306,3.7149268478432735,14.329279016548458,2.1467915114394596,52.4
7307,3.748475166126662,14.31107939375308,2.209804861939151,52.4
7308,3.7816572756578233,14.292109229944428,2.274667801614147,52.4
7309,3.8144571800338087,14.27237034737372,2.341434620231462,52.4
7310,3.846860650996552,14.251865342142173,2.4101612010897164,52.4
7311,3.878854943288857,14.230597618822642,2.4809050677930045,52.4
7312,3.9104332080557898,14.208570391544532,2.5537254323977048,52.4
7313,3.941599135784044,14.185784677974308,2.6286832449725046,52.4
7314,3.97234578932158,14.162245933303378,2.705841244613118,52.4
7315,4.00267920440447,14.137956775657578,2.785264011954415,52.4
7316,4.032591859834692,14.112925371860957,2.8670180232239,52.4
7317,4.06204164497696,14.087170496786246,2.9511717058817935,52.4
7318,4.090985916481731,14.060710429041515,3.0377954958942714,52.4
7319,4.11939441941946,14.033560231441475,3.1269618966878063,52.4
7320,4.147298733395065,14.005720178298612,3.218745539833966,52.4
7321,4.174698894919691,13.977200357697972,3.313223247515452,52.4
7322,4.2015848626443955,13.948014553558092,3.410474096825652,52.4
7323,4.227947869557766,13.9181769583525,3.510579485955543,52.4
7324,4.253780379924441,13.887702385591679,3.613623202323329,52.4
7325,4.2790815775798245,13.856600732158071,3.719691492703856,52.4
7326,4.303883517769223,13.824836598104824,3.828873135416476,52.4
7327,4.328182549311214,13.792410397664787,3.941259514631789,52.4
7328,4.351988281355441,13.759330603313984,4.056944696859479,52.4
7329,4.37530247609443,13.725607321223634,4.1760255096812395,52.4
7330,4.398123446620334,13.691252929535972,4.298601622794688,52.4
7331,4.420450844846777,13.656280716541575,4.4247756314361135,52.4
7332,4.442284377205884,13.620703887492207,4.55465314225188,52.4
7333,4.463623929953124,13.584536204113824,4.6883428616903515,52.4
7334,4.484481471760378,13.547789030195691,4.825956686988333,52.4
7335,4.50485303822142,13.510478001604168,4.967609799828163,52.4
7336,4.524725323905828,13.472621448880918,5.113420762743877,52.4
7337,4.544085365477702,13.43423686329936,5.263511618357109,52.4
7338,4.562921875344147,13.395342319886792,5.418007991525801,52.4
7339,4.581233731310236,13.355953025031232,5.57703919449121,52.4
7340,4.599042549516163,13.316080104258509,5.740738335111225,52.4
7341,4.616350938452174,13.27573876685491,5.90924242827061,52.4
7342,4.63315942965744,13.234945899773892,6.082692510561363,52.4
7343,4.649469550046514,13.193717234864966,6.261233758329222,52.4
7344,4.665283444293326,13.152069127391352,6.445015609185128,52.4
7345,4.680603874191075,13.110018053257551,6.634191887083323,52.4
7346,4.695433824071385,13.067579837627036,6.828920931070778,52.4
7347,4.709775501698503,13.024772037123409,7.029365727815716,52.4
7348,4.723640891427378,12.981587087281758,7.235694048026167,52.4
7349,4.737056009047718,12.937974022105104,7.448078586872734,52.4
7350,4.750029046470754,12.893943001354872,7.666697108533072,52.4
7351,4.762565380304891,12.849509132795054,7.891732594979093,52.4
7352,4.774670185452012,12.804689078959647,8.12337339913143,52.4
7353,4.786349131998112,12.759498920452138,8.361813402509355,52.4
